Date,SP500 ^GSPC,SP500 ^GSPC,NASDAQ ^IXIC,NASDAQ ^IXIC,DJI ^DJI,DJI ^DJI,RUSSELL2000 ^RUT,RUSSELL2000 ^RUT,FTSE ^FTSE,FTSE ^FTSE,NIKKEI ^N225,NIKKEI ^N225,GOLD GC=F,USD INDEX DX-Y.NYB,VIX
2009-08-01,1020.6199951171875,116059270000,2009.06005859375,44011670000,9496.2802734375,4042210000,572.0700073242188,116825670000,4908.89990234375,20616527400,10492.5302734375,2927600000,7492,78.16999816894531,25.01
2009-09-01,1057.0799560546875,112295490000,2122.419921875,49652910000,9712.2802734375,4478480000,604.280029296875,112295490000,5133.89990234375,22518435400,10133.23046875,2585200000,15642,76.6500015258789,24.32
2009-10-01,1036.18994140625,113410990000,2045.1099853515625,50489640000,9712.73046875,5151150000,562.77001953125,113410990000,5044.60009765625,24449723700,10034.740234375,3133500000,3699,76.30000305175781,23.65
2009-12-01,1115.0999755859375,89515330000,2269.14990234375,39269070000,10428.0498046875,4174040000,625.3900146484375,89515330000,5412.89990234375,20435954700,10546.4404296875,3335300000,24177,77.86000061035156,21.369999999999997
2010-01-01,1073.8699951171875,90947580000,2147.35009765625,45625830000,10067.330078125,4424700000,602.0399780273438,90947580000,5188.5,22411336500,10198.0400390625,3461300000,320664,79.45999908447266,19.16
2010-02-01,1104.489990234375,84561340000,2238.260009765625,42835360000,10325.259765625,4279660000,628.5599975585938,84561340000,5354.5,25453436500,10126.0302734375,2486300000,18209,80.36000061035156,21.72
2010-03-01,1169.4300537109375,103683550000,2397.9599609375,54955550000,10856.6298828125,4388530000,678.6400146484375,103683550000,5679.60009765625,25031230400,11089.9404296875,2840200000,222583,81.06999969482422,17.69
2010-04-01,1186.68994140625,116741910000,2461.18994140625,54528540000,11008.6103515625,4237550000,716.5999755859375,116741910000,5553.2998046875,21096454200,11057.400390625,3039100000,10917,81.87000274658203,16.62
2010-05-01,1089.4100341796875,127662780000,2257.0400390625,57203120000,10136.6298828125,5605690000,661.6099853515625,127662780000,5188.39990234375,30624328300,9768.7001953125,3169300000,361661,86.58999633789062,31.655
2010-06-01,1030.7099609375,110106750000,2109.239990234375,48633730000,9774.01953125,4941680000,609.489990234375,110106750000,4916.89990234375,24401952000,9382.6396484375,2699700000,16703,86.0199966430664,29.23
2010-07-01,1101.5999755859375,94778110000,2254.699951171875,43910370000,10465.9404296875,4243320000,650.8900146484375,94778110000,5258.0,20927401400,9537.2998046875,2938300000,267525,81.54000091552734,24.89
2010-09-01,1141.199951171875,79589450000,2368.6201171875,41586870000,10788.0498046875,3764970000,676.1400146484375,79589450000,5548.60009765625,17869511900,9369.349609375,2480200000,33200,78.72000122070312,22.51
2010-10-01,1183.260009765625,89536270000,2507.409912109375,41539760000,11118.490234375,3787250000,703.3499755859375,90148480000,5675.2001953125,16935426300,9202.4501953125,2922000000,3190,77.2699966430664,20.22
2010-11-01,1180.550048828125,87151070000,2498.22998046875,40893560000,11006.01953125,3808130000,727.010009765625,87151070000,5528.2998046875,19371404300,9937.0400390625,2736400000,245327,81.19999694824219,19.56
2010-12-01,1257.6400146484375,80984530000,2652.8701171875,36306890000,11577.509765625,3252900000,783.6500244140625,80984530000,5899.89990234375,13805135600,10228.919921875,2638500000,16511,79.02999877929688,17.58
2011-01-01,1286.1199951171875,92164940000,2700.080078125,40221760000,11891.9296875,3681720000,781.25,92164940000,5862.89990234375,17841124600,10237.919921875,2736000000,299379,77.73999786376953,17.345
2011-02-01,1327.219970703125,59223660000,2782.27001953125,39225340000,12226.33984375,3220480000,823.4500122070312,59223660000,5994.0,16977620800,10624.08984375,3125000000,14468,76.88999938964844,16.59
